Date,Transaction Details,Type,Amount,Balance,Category
2024-09-01,Opening Balance,,0.00,12000.00,
2024-09-01,UPI/420880598223/S ABRAR UL,Debit,210.00,11790.00,Food
2024-09-02,Rent Payment - September,Debit,5000.00,6790.00,Housing
2024-09-03,ATM Withdrawal - Metro,Debit,1000.00,5790.00,Cash
2024-09-05,NEFT/ACCENTURE SALARY SEP24,Credit,75000.00,80790.00,Salary
2024-09-06,UPI/RAZORPAY/PAYVIARAZORPAY,Debit,500.00,80290.00,Subscriptions
2024-09-07,EMI Payment - Car Loan,Debit,8500.00,71790.00,Loan
2024-09-10,UPI/421250426956/AMAZON,Debit,6189.00,65601.00,Shopping
2024-09-12,UPI/ZOMATO,Debit,420.00,65181.00,Food
2024-09-15,Interest Credited,Credit,150.00,65331.00,Interest
2024-09-18,UPI/OLA,Debit,300.00,65031.00,Travel
2024-09-22,UPI/GROFERS,Debit,2200.00,62831.00,Grocery
2024-09-25,Electricity Bill Payment,Debit,1800.00,61031.00,Bills
2024-09-28,UPI/NETFLIX,Debit,649.00,60382.00,Subscriptions

2024-10-01,Opening Balance,,0.00,60382.00,
2024-10-02,Rent Payment - October,Debit,5000.00,55382.00,Housing
2024-10-03,ATM Withdrawal,Debit,2000.00,53382.00,Cash
2024-10-05,NEFT/ACCENTURE SALARY OCT24,Credit,75500.00,128882.00,Salary
2024-10-06,UPI/SPOTIFY,Debit,199.00,128683.00,Subscriptions
2024-10-07,EMI Payment - Car Loan,Debit,8500.00,120183.00,Loan
2024-10-09,UPI/FLIPKART,Debit,3500.00,116683.00,Shopping
2024-10-12,UPI/ZOMATO,Debit,550.00,116133.00,Food
2024-10-15,Interest Credited,Credit,170.00,116303.00,Interest
2024-10-18,UPI/UBER,Debit,400.00,115903.00,Travel
2024-10-21,UPI/BIGBASKET,Debit,2500.00,113403.00,Grocery
2024-10-25,Electricity Bill,Debit,2000.00,111403.00,Bills
2024-10-29,UPI/AMAZON PRIME,Debit,999.00,110404.00,Subscriptions

2024-11-01,Opening Balance,,0.00,110404.00,
2024-11-02,Rent Payment - November,Debit,5000.00,105404.00,Housing
2024-11-03,ATM Withdrawal,Debit,1500.00,103904.00,Cash
2024-11-06,NEFT/ACCENTURE SALARY NOV24,Credit,75000.00,178904.00,Salary
2024-11-07,UPI/YOUTUBE,Debit,129.00,178775.00,Subscriptions
2024-11-08,EMI Payment - Car Loan,Debit,8500.00,170275.00,Loan
2024-11-10,UPI/MYNTRA,Debit,4200.00,166075.00,Shopping
2024-11-12,UPI/ZOMATO,Debit,600.00,165475.00,Food
2024-11-15,Interest Credited,Credit,200.00,165675.00,Interest
2024-11-18,UPI/OLA,Debit,350.00,165325.00,Travel
2024-11-22,UPI/GROFERS,Debit,2700.00,162625.00,Grocery
2024-11-25,Electricity Bill,Debit,2100.00,160525.00,Bills
2024-11-28,UPI/NETFLIX,Debit,649.00,159876.00,Subscriptions
